Business Name,Industry,Owner/Contact,Phone,Email,Website,Website Status,Location,Priority,Notes
Great Lakes Plumbing,Plumbing,Mike Reynolds,(313) 555-0101,info@greatlakesplumb.com,None,NO WEBSITE,Grosse Pointe,HIGH,30 years in business - zero web presence
Motor City HVAC,HVAC,Sarah Thompson,(313) 555-0102,None,www.motorcityhvac.com,TERRIBLE,Detroit,HIGH,Site from 2008 - broken links
Elite Roofing Solutions,Roofing,John Davis,(313) 555-0103,eliteroofing@gmail.com,Facebook only,FACEBOOK ONLY,Grosse Pointe Woods,HIGH,Active FB - needs real site
Advanced Electrical,Electrical,Robert Martinez,(313) 555-0104,None,None,NO WEBSITE,Harper Woods,HIGH,Yelp presence only
Green Thumb Landscaping,Landscaping,Lisa Chen,(313) 555-0105,greenthumb@yahoo.com,www.greenthumblandscape.com,OUTDATED,St Clair Shores,MEDIUM,Site exists but not mobile friendly
Precision Plumbing,Plumbing,Tom Anderson,(313) 555-0106,None,None,NO WEBSITE,Eastpointe,HIGH,New business - no online presence
Quality Heating & Cooling,HVAC,James Wilson,(313) 555-0107,qualityhvac@gmail.com,www.qualityhvac.net,BAD,Warren,HIGH,Site broken - no SSL
Superior Contractors,General Contractor,Maria Garcia,(313) 555-0108,None,None,NO WEBSITE,Grosse Pointe Park,HIGH,Commercial focus - no website
Diamond Electrical Services,Electrical,Kevin Brown,(313) 555-0109,diamondelectric@hotmail.com,Facebook only,FACEBOOK ONLY,Detroit,MEDIUM,FB page with good reviews
Premier Roofing,Roofing,David Lee,(313) 555-0110,None,www.premierroof.com,TERRIBLE,Grosse Pointe Farms,HIGH,1990s design - not responsive
